user_id,expenses,vibe,reviews,instagram_photos,previous_destinations,favorite_activities,total_package_amount,days_by_travel_option,hotel_rooms_with_budget_price,famous_places_to_visit
U016,2500,Cultural,good,https://instagram.com/photos/U016,Udaipur,"hiking, shopping, fine dining",6811.330158497017,7 days by car,145 USD per night,"City Palace, Lake Pichola, Jag Mandir, Golden Temple, Jallianwala Bagh"
U017,1500,Foodie,good,https://instagram.com/photos/U017,Kerala,"beach lounging, water sports",4086.79809509821,7 days by car,118 USD per night,"Backwaters, Munnar, Thekkady, Hawa Mahal, Amber Fort"
U018,2500,Socializing,best,https://instagram.com/photos/U018,Leh,"beach lounging, fine dining, cultural tours",6811.330158497017,3 days by car,75 USD per night,"Pangong Lake, Leh Palace, Magnetic Hill, City Palace, Lake Pichola"
U019,1500,Adventure,good,https://instagram.com/photos/U019,Shimla,"cultural tours, shopping, beach lounging",4086.79809509821,3 days by train,124 USD per night,"Pangong Lake, Leh Palace, Magnetic Hill, Baga Beach, Fort Aguada"
U020,2500,Socializing,ok,https://instagram.com/photos/U020,Shimla,"beach lounging, cultural tours",6811.330158497017,7 days by car,79 USD per night,"Baga Beach, Fort Aguada, Dudhsagar Falls"
U021,2500,Relaxation,better,https://instagram.com/photos/U021,Rishikesh,"beach lounging, water sports, cultural tours",6811.330158497017,5 days by car,117 USD per night,"Laxman Jhula, Triveni Ghat, Rajaji National Park, Kashi Vishwanath Temple, Dashashwamedh Ghat"
U022,1500,Relaxation,best,https://instagram.com/photos/U022,Goa,"yoga, shopping",4086.79809509821,10 days by flight,89 USD per night,"Baga Beach, Fort Aguada, Dudhsagar Falls, Pangong Lake, Leh Palace"
U023,2000,Socializing,better,https://instagram.com/photos/U023,Leh,"yoga, fine dining, hiking",5449.064126797613,7 days by train,76 USD per night,"Pangong Lake, Leh Palace, Magnetic Hill, Hawa Mahal, Amber Fort"
U024,2500,Adventure,amazing,https://instagram.com/photos/U024,Manali,"fine dining, water sports, hiking",6811.330158497017,4 days by flight,114 USD per night,"Rohtang Pass, Solang Valley, Hidimba Devi Temple, City Palace, Lake Pichola"
U025,1500,Budget,ok,https://instagram.com/photos/U025,Goa,"fine dining, cultural tours, hiking",4086.79809509821,7 days by train,68 USD per night,"Baga Beach, Fort Aguada, Dudhsagar Falls, Pangong Lake, Leh Palace"
U026,2000,Adventure,better,https://instagram.com/photos/U026,Jaipur,"shopping, cultural tours, fine dining",5449.064126797613,3 days by car,57 USD per night,"Hawa Mahal, Amber Fort, City Palace, Golden Temple, Jallianwala Bagh"
U027,1500,Cultural,ok,https://instagram.com/photos/U027,Mysore,"cultural tours, hiking, shopping",4086.79809509821,10 days by flight,99 USD per night,"Baga Beach, Fort Aguada, Dudhsagar Falls, Taj Mahal, Agra Fort"
U028,1500,Relaxation,ok,https://instagram.com/photos/U028,Leh,"yoga, beach lounging",4086.79809509821,9 days by train,113 USD per night,"Pangong Lake, Leh Palace, Magnetic Hill, Laxman Jhula, Triveni Ghat"
U029,1500,Adventure,amazing,https://instagram.com/photos/U029,Rishikesh,shopping,4086.79809509821,5 days by train,131 USD per night,"Laxman Jhula, Triveni Ghat, Rajaji National Park, Taj Mahal, Agra Fort"
U030,2500,Relaxation,best,https://instagram.com/photos/U030,Kerala,"cultural tours, yoga, fine dining",6811.330158497017,5 days by car,61 USD per night,"Backwaters, Munnar, Thekkady, Baga Beach, Fort Aguada"
U031,2000,Budget,amazing,https://instagram.com/photos/U031,Shimla,"hiking, shopping",5449.064126797613,10 days by car,96 USD per night,"Golden Temple, Jallianwala Bagh, Wagah Border, Kashi Vishwanath Temple, Dashashwamedh Ghat"
U032,1500,Relaxation,best,https://instagram.com/photos/U032,Shimla,"beach lounging, shopping, cultural tours",4086.79809509821,8 days by car,90 USD per night,"Kashi Vishwanath Temple, Dashashwamedh Ghat, Sarnath, Pangong Lake, Leh Palace"
U033,2500,Adventure,best,https://instagram.com/photos/U033,Udaipur,fine dining,6811.330158497017,10 days by car,121 USD per night,"City Palace, Lake Pichola, Jag Mandir, Kashi Vishwanath Temple, Dashashwamedh Ghat"
U034,2500,Luxury,amazing,https://instagram.com/photos/U034,Leh,"water sports, fine dining, yoga",6811.330158497017,5 days by car,73 USD per night,"Pangong Lake, Leh Palace, Magnetic Hill, Golden Temple, Jallianwala Bagh"
U035,2000,Cultural,best,https://instagram.com/photos/U035,Leh,"fine dining, water sports, hiking",5449.064126797613,10 days by flight,123 USD per night,"Pangong Lake, Leh Palace, Magnetic Hill, Rohtang Pass, Solang Valley"
U036,1500,Cultural,ok,https://instagram.com/photos/U036,Jaipur,fine dining,4086.79809509821,8 days by train,83 USD per night,"Hawa Mahal, Amber Fort, City Palace, Laxman Jhula, Triveni Ghat"
U037,2000,Luxury,better,https://instagram.com/photos/U037,Manali,"shopping, cultural tours",5449.064126797613,3 days by flight,65 USD per night,"Rohtang Pass, Solang Valley, Hidimba Devi Temple, Baga Beach, Fort Aguada"
U038,2000,Socializing,best,https://instagram.com/photos/U038,Agra,"shopping, fine dining, water sports",5449.064126797613,6 days by car,118 USD per night,"Taj Mahal, Agra Fort, Mehtab Bagh, Golden Temple, Jallianwala Bagh"
U039,2000,Luxury,good,https://instagram.com/photos/U039,Varanasi,"beach lounging, water sports",5449.064126797613,6 days by train,69 USD per night,"Kashi Vishwanath Temple, Dashashwamedh Ghat, Sarnath, Baga Beach, Fort Aguada"
U040,2000,Budget,better,https://instagram.com/photos/U040,Varanasi,"shopping, yoga",5449.064126797613,4 days by flight,115 USD per night,"Kashi Vishwanath Temple, Dashashwamedh Ghat, Sarnath, Baga Beach, Fort Aguada"
U041,1500,Budget,amazing,https://instagram.com/photos/U041,Mysore,shopping,4086.79809509821,8 days by car,54 USD per night,"Backwaters, Munnar, Thekkady, Rohtang Pass, Solang Valley"
U042,1500,Socializing,best,https://instagram.com/photos/U042,Shimla,"yoga, shopping, cultural tours",4086.79809509821,8 days by car,92 USD per night,"Taj Mahal, Agra Fort, Mehtab Bagh, Hawa Mahal, Amber Fort"
U043,1500,Cultural,good,https://instagram.com/photos/U043,Varanasi,water sports,4086.79809509821,9 days by car,59 USD per night,"Kashi Vishwanath Temple, Dashashwamedh Ghat, Sarnath, Hawa Mahal, Amber Fort"
U044,2500,Budget,ok,https://instagram.com/photos/U044,Jaipur,"yoga, shopping, fine dining",6811.330158497017,3 days by car,95 USD per night,"Hawa Mahal, Amber Fort, City Palace, Rohtang Pass, Solang Valley"
U045,2000,Adventure,better,https://instagram.com/photos/U045,Mysore,fine dining,5449.064126797613,6 days by train,81 USD per night,"Golden Temple, Jallianwala Bagh, Wagah Border, Baga Beach, Fort Aguada"
U046,2500,Luxury,best,https://instagram.com/photos/U046,Kerala,"shopping, water sports",6811.330158497017,6 days by flight,121 USD per night,"Backwaters, Munnar, Thekkady, Pangong Lake, Leh Palace"
U047,2500,Adventure,ok,https://instagram.com/photos/U047,Rishikesh,"cultural tours, hiking, fine dining",6811.330158497017,8 days by flight,81 USD per night,"Laxman Jhula, Triveni Ghat, Rajaji National Park"
U048,2000,Foodie,better,https://instagram.com/photos/U048,Amritsar,"water sports, hiking, beach lounging",5449.064126797613,9 days by car,146 USD per night,"Golden Temple, Jallianwala Bagh, Wagah Border, Rohtang Pass, Solang Valley"
U049,1500,Cultural,better,https://instagram.com/photos/U049,Manali,"yoga, fine dining, water sports",4086.79809509821,6 days by flight,109 USD per night,"Rohtang Pass, Solang Valley, Hidimba Devi Temple, Hawa Mahal, Amber Fort"
U050,1500,Foodie,better,https://instagram.com/photos/U050,Kerala,water sports,4086.79809509821,7 days by train,139 USD per night,"Backwaters, Munnar, Thekkady, Rohtang Pass, Solang Valley"
U051,2500,Budget,better,https://instagram.com/photos/U051,Amritsar,"shopping, fine dining, beach lounging",6811.330158497017,5 days by flight,94 USD per night,"Golden Temple, Jallianwala Bagh, Wagah Border, Taj Mahal, Agra Fort"
U052,2500,Relaxation,good,https://instagram.com/photos/U052,Goa,"yoga, fine dining, water sports",6811.330158497017,10 days by car,51 USD per night,"Baga Beach, Fort Aguada, Dudhsagar Falls, Pangong Lake, Leh Palace"
U053,2000,Socializing,ok,https://instagram.com/photos/U053,Varanasi,cultural tours,5449.064126797613,10 days by train,65 USD per night,"Kashi Vishwanath Temple, Dashashwamedh Ghat, Sarnath, Laxman Jhula, Triveni Ghat"
U054,2000,Cultural,better,https://instagram.com/photos/U054,Shimla,shopping,5449.064126797613,10 days by train,93 USD per night,"Pangong Lake, Leh Palace, Magnetic Hill, Rohtang Pass, Solang Valley"
U055,2000,Luxury,best,https://instagram.com/photos/U055,Jaipur,shopping,5449.064126797613,7 days by car,101 USD per night,"Hawa Mahal, Amber Fort, City Palace, Taj Mahal, Agra Fort"
U056,2500,Luxury,better,https://instagram.com/photos/U056,Jaipur,water sports,6811.330158497017,9 days by car,91 USD per night,"Hawa Mahal, Amber Fort, City Palace, City Palace, Lake Pichola"
U057,1500,Relaxation,best,https://instagram.com/photos/U057,Kerala,water sports,4086.79809509821,6 days by flight,93 USD per night,"Backwaters, Munnar, Thekkady, Hawa Mahal, Amber Fort"
U058,1500,Luxury,better,https://instagram.com/photos/U058,Rishikesh,"yoga, cultural tours, shopping",4086.79809509821,10 days by car,67 USD per night,"Laxman Jhula, Triveni Ghat, Rajaji National Park, Rohtang Pass, Solang Valley"
U059,1500,Budget,good,https://instagram.com/photos/U059,Shimla,"water sports, cultural tours",4086.79809509821,4 days by train,142 USD per night,"City Palace, Lake Pichola, Jag Mandir, Laxman Jhula, Triveni Ghat"
U060,1500,Luxury,amazing,https://instagram.com/photos/U060,Kerala,cultural tours,4086.79809509821,8 days by flight,123 USD per night,"Backwaters, Munnar, Thekkady, Pangong Lake, Leh Palace"
U061,2500,Budget,better,https://instagram.com/photos/U061,Kerala,hiking,6811.330158497017,3 days by flight,77 USD per night,"Backwaters, Munnar, Thekkady, City Palace, Lake Pichola"
U062,2500,Adventure,amazing,https://instagram.com/photos/U062,Jaipur,beach lounging,6811.330158497017,3 days by train,109 USD per night,"Hawa Mahal, Amber Fort, City Palace, Pangong Lake, Leh Palace"
U063,1500,Cultural,better,https://instagram.com/photos/U063,Mysore,water sports,4086.79809509821,7 days by car,141 USD per night,"Kashi Vishwanath Temple, Dashashwamedh Ghat, Sarnath, Baga Beach, Fort Aguada"
U064,2500,Cultural,amazing,https://instagram.com/photos/U064,Agra,hiking,6811.330158497017,4 days by flight,74 USD per night,"Taj Mahal, Agra Fort, Mehtab Bagh, City Palace, Lake Pichola"
U065,2500,Luxury,better,https://instagram.com/photos/U065,Rishikesh,"yoga, hiking, beach lounging",6811.330158497017,7 days by car,53 USD per night,"Laxman Jhula, Triveni Ghat, Rajaji National Park, Taj Mahal, Agra Fort"
U066,2000,Foodie,ok,https://instagram.com/photos/U066,Mysore,yoga,5449.064126797613,5 days by car,94 USD per night,"Baga Beach, Fort Aguada, Dudhsagar Falls, Backwaters, Munnar"
U067,2500,Foodie,good,https://instagram.com/photos/U067,Shimla,"yoga, shopping",6811.330158497017,9 days by flight,101 USD per night,"Backwaters, Munnar, Thekkady"
U068,2500,Cultural,ok,https://instagram.com/photos/U068,Rishikesh,cultural tours,6811.330158497017,5 days by flight,93 USD per night,"Laxman Jhula, Triveni Ghat, Rajaji National Park, Rohtang Pass, Solang Valley"
U069,2000,Socializing,better,https://instagram.com/photos/U069,Agra,"hiking, shopping",5449.064126797613,6 days by flight,94 USD per night,"Taj Mahal, Agra Fort, Mehtab Bagh, Hawa Mahal, Amber Fort"
U070,2000,Luxury,amazing,https://instagram.com/photos/U070,Leh,hiking,5449.064126797613,6 days by train,132 USD per night,"Pangong Lake, Leh Palace, Magnetic Hill, Hawa Mahal, Amber Fort"
U071,1500,Cultural,amazing,https://instagram.com/photos/U071,Udaipur,"hiking, fine dining",4086.79809509821,7 days by flight,74 USD per night,"City Palace, Lake Pichola, Jag Mandir, Golden Temple, Jallianwala Bagh"
U072,2000,Budget,ok,https://instagram.com/photos/U072,Udaipur,"yoga, cultural tours",5449.064126797613,3 days by train,123 USD per night,"City Palace, Lake Pichola, Jag Mandir, Backwaters, Munnar"
U073,2000,Foodie,ok,https://instagram.com/photos/U073,Udaipur,"water sports, hiking, cultural tours",5449.064126797613,10 days by flight,119 USD per night,"City Palace, Lake Pichola, Jag Mandir, Baga Beach, Fort Aguada"
U074,1500,Socializing,ok,https://instagram.com/photos/U074,Mysore,"cultural tours, hiking, shopping",4086.79809509821,7 days by flight,93 USD per night,"City Palace, Lake Pichola, Jag Mandir, Pangong Lake, Leh Palace"
U075,1500,Luxury,best,https://instagram.com/photos/U075,Amritsar,"beach lounging, fine dining",4086.79809509821,5 days by train,52 USD per night,"Golden Temple, Jallianwala Bagh, Wagah Border, Baga Beach, Fort Aguada"
U076,2000,Budget,ok,https://instagram.com/photos/U076,Udaipur,cultural tours,5449.064126797613,4 days by car,132 USD per night,"City Palace, Lake Pichola, Jag Mandir, Backwaters, Munnar"
U077,2000,Relaxation,better,https://instagram.com/photos/U077,Udaipur,"shopping, cultural tours, water sports",5449.064126797613,3 days by train,137 USD per night,"City Palace, Lake Pichola, Jag Mandir, Baga Beach, Fort Aguada"
U078,2000,Adventure,amazing,https://instagram.com/photos/U078,Leh,fine dining,5449.064126797613,10 days by flight,146 USD per night,"Pangong Lake, Leh Palace, Magnetic Hill, Backwaters, Munnar"
U079,2000,Socializing,good,https://instagram.com/photos/U079,Mysore,"cultural tours, shopping",5449.064126797613,5 days by flight,95 USD per night,"Pangong Lake, Leh Palace, Magnetic Hill, Baga Beach, Fort Aguada"
U080,2000,Socializing,amazing,https://instagram.com/photos/U080,Jaipur,"fine dining, yoga",5449.064126797613,8 days by flight,80 USD per night,"Hawa Mahal, Amber Fort, City Palace, Baga Beach, Fort Aguada"
U081,2000,Luxury,best,https://instagram.com/photos/U081,Agra,"cultural tours, fine dining, shopping",5449.064126797613,7 days by car,105 USD per night,"Taj Mahal, Agra Fort, Mehtab Bagh, Laxman Jhula, Triveni Ghat"
